,index,text,language,created_at,location,fav_count,followers_count
0,3,"RT @JesseFFerguson: BREAKING from FOX 5 (Georgia) --

""Brian Kemp owes more than $800,000 in insider loans to bank he helped start"" 
 
#GAG…",en,Wed Oct 24 17:07:19 +0000 2018,,108791,530
1,4,RT @ ayanami 0304: resembles w,ja,Wed Oct 24 17:07:19 +0000 2018,合衆国日本,20919,267
2,5,RT @LAY_zhang_: Namanana is my favorite song of this year～I hope people can get motivation from it，be happy. Arrangement by me❤️^^ https://…,en,Wed Oct 24 17:07:19 +0000 2018,"Seoul, Republic of Korea",1413,124
3,6,Santa ... ... you do not come?,ja,Wed Oct 24 17:07:19 +0000 2018,,21,74
4,9,"RT @hopeworldians: Aoki has Blink 182, Lady Antebellum, Lil Yatchy and Louis Tomlinson featured on his new album yet he chose the BTS featu…",en,Wed Oct 24 17:07:19 +0000 2018,"California, USA",17525,118
5,11,"RT @MrsGandhi: I Agree @Sagarikaghose, bodily functions are not dirty and do not desecrate. 

Now that makes me wonder why you were outragi…",en,Wed Oct 24 17:07:19 +0000 2018,,7248,26
6,12,"Arashi, as a stadium tour. Hokkaido does not have ❔ Hokkaido 無 無 ね ❔❔ ❔❔ There is only an airplane other than Hokkaido ❔ It is high ❔",ja,Wed Oct 24 17:07:19 +0000 2018,ヒンナヒンナ🐻,5,2
7,13,"RT @ YahooNewsYuru: \ I want to try ☕️ / Lawson &#39;s topic&#39; Cream only &#39;, a novel arranging method is a big attention in SNS. # Lawson # convenience store # sweets # coffee # loose-leaf https://t.co/aBtzKwAyrn",ja,Wed Oct 24 17:07:19 +0000 2018,新潟県,55172,142
8,14,@beat_f @ lucky_17a What is such a way of saying?,ja,Wed Oct 24 17:07:19 +0000 2018,ゆかり王国,6547,440
9,15,"RT @volopacem: When you look at the company recruitment process, the attitude is definitely different depending on the applicant. From the standpoint of selection, real men are much more active and confident than women. Women are nurtured in a society that needs to be careful, and they support ...",ko,Wed Oct 24 17:07:19 +0000 2018,,10559,44
10,16,RT @DawBell: 👀🔥💥 https://t.co/pBp6LK6wBv,und,Wed Oct 24 17:07:19 +0000 2018,대한민국 서울,70971,49
11,17,Sanam baloch nami tawif Gilgit ponch gai he ... Chehlum e Imam Hussain k qreereeb live musical prg saramnak he .... ic p ... https://t.co/N6iak7Ls4r,in,Wed Oct 24 17:07:19 +0000 2018,,2584,788
12,18,RT @blackmesa_ita: @shenanigansen Uwu https://t.co/SAffd7JMuk,und,Wed Oct 24 17:07:19 +0000 2018,México,42783,94
13,19,@ Lu24RHCP @semserpeixoto he ate my brigadier Sunday and neither praised this ridiculous,pt,Wed Oct 24 17:07:19 +0000 2018,,82,17
14,20,RT @Lrthpn: Zemmour: &quot;We have no more immigration. We have an invasion and a colonization. We have countless territories ...,fr,Wed Oct 24 17:07:19 +0000 2018,Petit village gaulois,3288,89
15,21,RT @sns_srbija: 120+ months of work for the benefit of citizens https://t.co/GJHmBMoiq5,sr,Wed Oct 24 17:07:19 +0000 2018,,312,13
16,22,"RT @benoobrown: My snapchat memories make me so happy yet so sad, so many good days I wish I could back to",en,Wed Oct 24 17:07:19 +0000 2018,,1856,164
17,23,I liked a @YouTube video https://t.co/hSnjjrBz5G Spice - Black Hypocrisy (Official Music Video),en,Wed Oct 24 17:07:19 +0000 2018,Newport NC,675,53
18,24,The annual party is always jammers https://t.co/o0qhmk7o8j,en,Wed Oct 24 17:07:19 +0000 2018,The heart of the city,9540,204420
19,25,RT @ almohra0: A stubborn girl limited to soften her head only someone you love.,ar,Wed Oct 24 17:07:19 +0000 2018,بــ قلب ماما💋,341,10498
20,26,@arcticxs I think it&#39;s funny,pt,Wed Oct 24 17:07:19 +0000 2018,,6081,223
21,27,RT @CandeApoud: The &quot;piropo&quot; you told me when you saw me on the street. The kiss you threw at me. The horn you played. The look that cl ...,es,Wed Oct 24 17:07:19 +0000 2018,"Mar del Plata, Argentina",730,110
22,28,"RT @mcstkorea: [# 2018 Korea # Popular Culture Art Prize] # Minister of Culture and Tourism # Minister Jong-Hwan Do congratulated # BTS, # Bangladeshi # BTS, Congratulations to the Prime Minister ...",ko,Wed Oct 24 17:07:19 +0000 2018,Lejos de Bangtan 🌒💫,151383,3245
23,29,@Claujrincons @MovistarMX Reí.,und,Wed Oct 24 17:07:19 +0000 2018,Mexico,1619,1859
24,30,RT @ MarTeka45: @TiboInShape @Numerama Watch out for your cock,fr,Wed Oct 24 17:07:19 +0000 2018,"Gerstheim, France",25375,284
25,31,@jeniffernogue ♥ @,und,Wed Oct 24 17:07:19 +0000 2018,AP CDD ✌,136785,12261
26,32,@dexfranca @MarromMauro @ joaovmartins8 @ Fernand65364873 @FlamengoCarabao @andrizek Abandoned health and if it were not ... https://t.co/HILyRizeZJ,pt,Wed Oct 24 17:07:19 +0000 2018,"Guarulhos, Brasil",24745,284
27,33,"RT @AllieImpact: Hey, Marineland🖕🖕🖕🖕🖕🖕🖕 https://t.co/nVATmFQzoS",en,Wed Oct 24 17:07:19 +0000 2018,"Cheektowaga, NY",17096,738
28,34,@hatewithoutmeas @HabboQuestsWeb @hezhabbo @Habbo Who damaged my surprise?,es,Wed Oct 24 17:07:19 +0000 2018,"Buenos Aires, Argentina",104,40
29,35,Imagine if it breaks and you go into despair thinking that she died,pt,Wed Oct 24 17:07:19 +0000 2018,Brasília,28772,3041
30,36,RT @ColeWise2: Why does this guy sound exactly like Dale from Step Brothers lol https://t.co/l2Y0yEMMtS,en,Wed Oct 24 17:07:19 +0000 2018,,6141,572
31,37,"RT @PETTYMAMII: “yOuR mOm LiKeS mE” 
First of all my mother is fake she don’t even like me 🤷🏽‍♀️",en,Wed Oct 24 17:07:19 +0000 2018,,604,55
32,39,@cmd51375 @chloebowie3 @conniecon8 @Unicorn4Glitter @KSantorri @marczak_rob @Genxpunk69 @Picklebear1 @SurvivorKitty… https://t.co/l7t6CBZ0hY,en,Wed Oct 24 17:07:19 +0000 2018,"Texas, USA",1958,53
33,42,✨ け け け る RT 💦✨ # Adult Videos # Boobs https://t.co/rOxNM7MO0n,ja,Wed Oct 24 17:07:19 +0000 2018,,2,506
34,45,"RT @only_hwangmh: You are so sexy ❤️
#HwangMinhyun #황민현 https://t.co/M4aaXoOpGY",en,Wed Oct 24 17:07:20 +0000 2018,Sone Zone,17121,278
35,46,RT @John_McNews: I do not know what you&#39;re talking about.,th,Wed Oct 24 17:07:20 +0000 2018,"Nagoya City, Aichi",179,129
36,47,@KeshiaChante My love -- bodyis,en,Wed Oct 24 17:07:20 +0000 2018,"London, Ontario",1,0
37,48,"RT @ Mc_Z_m: It has graduated from Chiyu too. There is no sound source of Eternal Trinity, I want you to keep singing Hinata 😥 ① https://t.co/CXZL45qYcU",ja,Wed Oct 24 17:07:20 +0000 2018,,4185,115
38,49,"RT @suchi_0617: Finally it's hit 1 million 😭😭😭😘😘😘😍😍
Proud of you my baby 😘😘😘🤗🤗
@IamEJF #EricaFernandes #1MillionForEJF https://t.co/foqk8Ud…",en,Wed Oct 24 17:07:20 +0000 2018,,21227,82
39,50,RT @good_guy: I have a good time.,ko,Wed Oct 24 17:07:20 +0000 2018,"Khon Kaen, Thailand",1617,24
40,51,Until 12/1! &quot;Road to acquire original avatar on 55th&quot; participating!少 Sleeping little while on the way (¯ ▽ ¯;) ⚫︎ Zone friend wanted (¯ ^ ¯) ゞ https://t.co/ycBGfOBlEv,ja,Wed Oct 24 17:07:20 +0000 2018,横浜,25873,540
41,52,RT @JohnMcDonalds: RT @JohnMcDonald,th,Wed Oct 24 17:07:20 +0000 2018,,235,599
42,53,RT @llii1t: I really lost I craved.,ar,Wed Oct 24 17:07:20 +0000 2018,,328,83
43,54,@BTS_twt Im not cryingggg,en,Wed Oct 24 17:07:20 +0000 2018,#BTSARMY • Suzy,22216,48
44,55,RT @pprk0525: SHINee❤️🐸🐸🐸 https://t.co/kL6WWUVdxe,en,Wed Oct 24 17:07:20 +0000 2018,5이니의 마음속❤,6337,1067
45,56,RT @John_Johnny: I do not know what to say.,th,Wed Oct 24 17:07:20 +0000 2018,,55286,330
46,57,Federation of Labor calls for scrutiny of public transactions https://t.co/oMB174kulR,ar,Wed Oct 24 17:07:20 +0000 2018,Tunisie,2,654577
47,58,"@Real_Adam_A @Sexismisme Here is a story for you. When my stepson was in middle school, some 13 years ago, I volunt… https://t.co/SklwJE3pLU",en,Wed Oct 24 17:07:20 +0000 2018,,254,117
48,59,RT @makdescur: Who I fuck with is my business! I don’t owe nobody an explanation! Period.🗣,en,Wed Oct 24 17:07:20 +0000 2018,atl. ,12306,2103
49,60,RT @ _lcm6: good Australia we can never meet us sorry https://t.co/uPiaREmwkY,es,Wed Oct 24 17:07:20 +0000 2018,,1738,210
50,61,RT @IrexitFreedom: The Irish political establishment's servitude towards Brussels is shameful and embarrassing.  @IrexitFreedom are the onl…,en,Wed Oct 24 17:07:20 +0000 2018,Scotland,83,2872
51,62,RT @USANEWS007: Shooting Republicans didn't work. Net neutrality din't scare enough. Chasing people from diners didn't work. Mobs and viole…,en,Wed Oct 24 17:07:20 +0000 2018,"Louisiana,USA",39541,4268
52,63,I&#39;m good for something😂💪,es,Wed Oct 24 17:07:20 +0000 2018,"Soriano, Uruguay",8,6
53,64,"RT @ORIGINPC: 🌎🎁 [WORLD-WIDE GIVEAWAY] 🎁🌎

We've teamed up with our bro @pewdiepie once more to giveaway an @NVIDIAGeForce RTX 2080Ti #Grap…",en,Wed Oct 24 17:07:20 +0000 2018,Finland,60,7
54,65,RT @Suesantha: @Breaking911 @Bearpro4 Prosecute the liberal terrorists that are organizing and backing them,en,Wed Oct 24 17:07:20 +0000 2018,"new york, ny",24351,19034
55,66,"@Cheikouuu Mdrr it hurts me outright, so that&#39;s the record industry?",fr,Wed Oct 24 17:07:20 +0000 2018,,1881,151
